,LGA,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,total_num_first_responses
0,Alpine,48.6%,21:10,142,45.3%,21:55,139,48.1%,21:24,158,49.7%,17:41,145,149
1,Ararat,62.2%,17:10,143,68.2%,14:10,151,64.3%,16:09,157,66.2%,15:26,142,168
2,Ballarat,88.8%,10:30,"1,326",87.5%,10:52,"1,507",87.9%,10:28,1379,87.0%,10:55,"1,292","1,387"
3,Banyule,90.9%,10:18,"1,311",87.0%,11:00,"1,410",88.4%,10:37,"1,235",89.2%,10:07,"1,191","1,207"
4,Bass Coast,65.3%,13:58,467,62.7%,14:27,555,66.7%,14:07,510,63.5%,14:08,598,504
5,Baw Baw,60.5%,15:17,562,58.3%,15:31,645,70.4%,14:17,618,72.8%,13:20,563,547
6,Bayside,85.4%,11:25,859,85.4%,11:26,922,87.9%,11:10,850,88.4%,10:45,809,823
7,Benalla,69.3%,13:59,163,72.4%,13:55,185,66.5%,13:55,179,75.3%,12:46,166,171
8,Boroondara,87.5%,11:01,"1,179",86.6%,11:03,"1,392",89.2%,10:40,"1,240",90.5%,10:25,"1,161", 1253
9,Brimbank,88.8%,10:20,"2,170",85.3%,11:10,"2,553",87.3%,10:39,"2,402",89.7%,10:19,"2,172","2,210"
10,Buloke,39.7%,25:51,58,40.0%,23:29,75,36.5%,24:09,74,40.9%,23:54,66,63
11,Campaspe,63.3%,15:26,471,65.8%,14:45,474,67.0%,14:14,461,67.3%,14:14,495,488
12,Cardinia,67.9%,13:46,944,64.0%,14:24,"1,141",62.5%,14:21,"1,084",72.4%,12:39,"1,007","1,004"
13,Casey,82.8%,11:33,"2,983",81.0%,11:58,"3,354",82.9%,11:36,"3,137",86.3%,10:47,"2,968","3,048"
14,Central Goldfields,60.8%,15:34,166,61.8%,16:15,207,63.4%,15:14,202,62.5%,15:29,168,189
15,Colac-Otway,66.7%,14:47,168,66.7%,15:47,210,67.3%,14:55,220,62.6%,15:52,235,217
16,Corangamite,43.8%,21:07,162,40.3%,21:08,154,51.5%,17:35,171,48.5%,18:13,171,143
17,Darebin,89.6%,10:28,"1,761",87.3%,11:02,"2,056",87.9%,10:34,"1,942",91.7%,10:02,"1,813","1,785"
18,East Gippsland,61.4%,16:01,650,61.7%,16:28,779,62.9%,15:46,706,59.2%,16:42,710,668
19,Frankston,88.4%,10:29,"1,762",88.7%,10:32,"2,024",90.0%,10:03,"1,914",93.1%,9:19,"1,781","1,783"
20,Gannawarra,58.1%,19:02,74,51.4%,19:49,105,49.4%,19:20,89,42.4%,21:18,125,114
21,Glen Eira,90.7%,10:15,"1,311",87.7%,10:58,"1,509",89.5%,10:27,"1,249",90.0%,10:06,"1,307","1,279"
22,Glenelg,72.0%,13:25,200,69.0%,14:04,210,76.5%,12:29,187,80.2%,12:19,248,243
23,Golden Plains,35.8%,19:32,162,39.3%,17:52,168,38.4%,18:00,190,39.4%,18:05,160,174
24,Greater Bendigo,80.4%,12:08,"1,471",77.5%,12:29,"1,523",80.0%,12:07,"1,463",80.4%,11:55,"1,380","1,470"
25,Greater Dandenong,87.3%,10:42,"1,999",84.6%,11:21,"2,207",88.0%,10:46,"2,024",90.1%,10:11,"1,926","1,938"
26,Greater Geelong,82.1%,11:36,"3,099",82.2%,11:40,"3,348",85.0%,11:03,3237,85.4%,11:02,"3,095","3,138"
27,Greater Shepparton,80.6%,11:32,835,82.1%,11:31,937,85.3%,10:37,999,84.5%,10:46,886,985
28,Hepburn,41.9%,17:45,148,31.6%,20:01,155,36.0%,19:01,200,45.6%,16:43,158,162
29,Hindmarsh,40.2%,22:03,82,45.0%,22:20,80,55.9%,19:46,68,54.2%,21:59,59,59
30,Hobsons Bay,87.1%,10:43,951,85.5%,11:19,"1,060",83.5%,11:40,933,85.4%,10:45,889,952
31,Horsham,82.4%,11:13,245,83.5%,10:50,279,85.7%,10:56,245,85.7%,10:33,272,275
32,Hume,82.2%,11:38,"2,702",78.7%,12:16,"3,039",83.8%,11:22,"2,972",87.5%,10:41,"2,688","2,810"
