,LGA,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,total_num_first_responses
0,Alpine,31:38,182,33:03,152,33:00,174,31:56,173,155
1,Ararat,24:55,107,26:01,132,21:23,111,26:09,141,134
2,Ballarat,20:32,"1,015",19:12,"1,024",22:05,"1,082",21:55,"1,140","1,059"
3,Banyule,22:50,"1,011",22:14,942,22:21,970,20:56,965,"1,102"
4,Bass Coast,28:45,412,26:45,440,26:02,516,26:55,476,544
5,Baw Baw,24:51,473,24:31,460,22:18,502,24:02,516,546
6,Bayside,25:24,703,24:12,639,25:30,623,26:03,655,662
7,Benalla,26:34,166,25:19,151,25:39,162,25:32,171,192
8,Boroondara,23:53,991,23:09,952,23:20,923,23:35,936,943
9,Brimbank,21:57,"1,484",21:57,"1,527",22:06,"1,525",21:13,"1,460","1,551"
10,Buloke,40:09,56,35:36,61,42:26,53,38:45,64,62
11,Campaspe,28:11,428,29:36,433,28:29,423,25:29,414,501
12,Cardinia,21:09,690,20:49,698,21:07,740,20:06,780,850
13,Casey,20:44,"2,158",20:32,"2,173",20:23,"2,317",19:55,"2,312","2,395"
14,Central Goldfields,25:47,200,27:31,199,24:25,205,25:04,216,218
15,Colac-Otway,23:09,29,23:48,251,28:52,250,27:36,227,218
16,Corangamite,27:45,158,27:34,144,30:22,156,28:38,138,186
17,Darebin,21:18,"1,288",21:37,"1,290",21:41,1393,21:11,"1,296","1,342"
18,East Gippsland,31:08,596,30:30,635,33:06,635,30:23,632,622
19,Frankston,19:25,"1,437",19:27,"1,458",19:14,"1,536",18:37,"1,515","1,532"
20,Gannawarra,36:07,140,35:16,105,33:51,107,36:43,127,113
21,Glen Eira,25:08,941,24:12,925,25:05,930,24:34,880,925
22,Glenelg,22:02,209,21:45,199,25:59,214,27:45,205,234
23,Golden Plains,28:20,112,27:37,80,26:53,107,27:30,90,114
24,Greater Bendigo,23:32,"1,041",22:34,"1,032",24:41,"1,041",24:05,"1,113","1,123"
25,Greater Dandenong,20:30,"1,333",19:39,"1,394",19:34,"1,526",19:21,"1,483","1,514"
26,Greater Geelong,21:43,"2,276",21:02,"2,350",22:55,"2,508",23:18,"2,502","2,519"
27,Greater Shepparton,24:22,774,22:08,786,22:43,769,22:18,723,800
28,Hepburn,28:29,148,28:20,126,27:31,144,34:01,164,169
29,Hindmarsh,34:05,70,31:54,87,31:35,75,29:52,73,86
30,Hobsons Bay,21:09,652,22:08,668,23:49,726,22:39,716,705
31,Horsham,32:32,276,30:09,295,29:03,237,30:15,266,303
32,Hume,20:39,1736,20:33,"1,763",20:18,"1,872",19:18,"1,854","2,008"
33,Indigo,32:35,98,31:39,90,30:42,105,34:04,97,106
34,Kingston,22:09,"1,233",21:37,"1,170",22:47,"1,237",22:10,"1,294","1,274"
35,Knox,19:29,"1,121",18:26,"1,098",19:16,"1,188",18:23,"1,160","1,185"
36,Latrobe,23:13,961,23:59,"1,043",20:46,"1,091",21:44,"1,065","1,045"
37,Loddon,33:33,75,34:47,82,33:21,81,35:04,76,74
