,LGA,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,%_responses_more_than_15min,avg_response_time,total_num_first_responses,total_num_first_responses
0,Alpine,47.3%,22:04,169,43.8%,19:46,160,37.4%,24:43,182,39.5%,23:30,210,175
1,Ararat,60.4%,16:57,159,61.2%,16:49,152,59.9%,17:34,167,58.8%,17:17,216,237
2,Ballarat,85.0%,11:39,"1,948",82.7%,11:51,"1,847",80.4%,12:53,"1,904",78.4%,13:16,"2,022","2,201"
3,Banyule,79.2%,12:21,"1,626",79.1%,12:46,"1,498",72.8%,14:05,1550,72.1%,14:02,"1,550","1,818"
4,Bass Coast,63.4%,16:07,725,62.8%,15:45,615,57.5%,17:03,711,55.6%,17:23,711,677
5,Baw Baw,66.3%,14:41,843,63.6%,15:30,800,55.5%,17:09,847,59.9%,16:37,832,867
6,Bayside,74.6%,14:17,881,81.8%,12:31,850,67.9%,15:26,878,70.6%,15:22,952,"1,025"
7,Benalla,56.2%,18:22,274,62.1%,15:57,203,55.7%,17:21,255,55.9%,17:28,254,253
8,Boroondara,81.8%,12:55,"1,458",83.1%,12:36,"1,314",75.4%,13:59,"1,409",73.5%,13:52,"1,518","1,514"
9,Brimbank,77.4%,13:04,"2,690",76.5%,13:07,"2,616",67.0%,15:09,"3,162",68.7%,14:37,3157,3255
10,Buloke,29.3%,28:10, 99,34.6%,25:03,81,27.1%,26:10,70,34.0%,27:23,100,107
11,Campaspe,58.5%,16:04,626,59.8%,15:12,517,57.0%,16:51,623,55.8%,16:53,640,679
12,Cardinia,61.3%,15:10,"1,389",61.4%,15:22,"1,429",53.5%,17:21,"1,573",55.8%,16:56,"1,620","1,715"
13,Casey,71.4%,13:41,"4,178",75.5%,13:16,"3,839",63.3%,15:26,"4,856",63.1%,15:37,"4,770","5,169"
14,Central Goldfields,55.6%,17:52,239,53.1%,18:22,224,51.5%,18:31,231,57.3%,18:34,248,286
15,Colac-Otway,64.4%,15:50,253,65.5%,15:40,235,53.3%,19:41,240,64.2%,15:50,268,252
16,Corangamite,54.3%,17:11,230,54.1%,17:33,229,49.2%,17:34,252,46.0%,19:19,239,227
17,Darebin,82.2%,12:28,"2,004",80.9%,12:40,"1,915",75.2%,13:52,"2,244",77.7%,13:27,"2,231","2,301"
18,East Gippsland,58.5%,16:38,905,57.4%,16:59,814,53.2%,18:51,885,51.0%,20:04,929,948
19,Frankston,80.8%,12:24,"2,356",81.9%,11:55,"2,064",74.2%,13:37,"2,406",72.6%,13:43,"2,409","2,482"
20,Gannawarra,46.6%,20:07,131,49.2%,20:10,124,45.6%,21:25,136,37.0%,23:32,138,135
21,Glen Eira,82.5%,12:07,"1,412",82.9%,12:11,"1,410",76.1%,13:41,"1,533",72.5%,14:06,"1,551","1,669"
22,Glenelg,75.2%,12:55,270,74.2%,13:27,240,79.0%,13:10,238,67.4%,16:00,273,323
23,Golden Plains,35.4%,19:09,237,31.9%,20:04,232,29.9%,20:23,234,32.2%,21:18,236,287
24,Greater Bendigo,75.3%,13:49,"2,068",75.2%,13:18,"1,897",70.8%,14:26,"1,983",67.7%,14:59,"2,110","2,291"
25,Greater Dandenong,80.8%,11:56,"2,176",84.2%,11:47,"2,017",73.5%,13:58,"2,623",73.0%,14:09,"2,540","2,517"
26,Greater Geelong,78.5%,12:35,"4,090",77.2%,12:45,"3,900",74.8%,13:13,"4,138",72.0%,13:55,"4,410","4,738"
27,Greater Shepparton,77.0%,12:51,"1,244",77.7%,12:39,"1,124",73.2%,14:02,"1,398",70.6%,14:54,"1,389","1,468"
28,Hepburn,33.9%,20:48,233,45.2%,18:11,228,39.0%,20:35,246,40.4%,20:20,277,269
29,Hindmarsh,51.9%,18:23,104,55.2%,19:28,87,53.6%,19:27,112,57.4%,18:47,94,107
30,Hobsons Bay,76.9%,12:50,"1,130",76.6%,13:07,"1,149",66.2%,14:34,"1,280",66.3%,14:55,"1,325","1,385"
31,Horsham,83.3%,11:20,324,82.8%,11:41,302,81.2%,12:00,340,73.5%,13:42,336,349
32,Hume,68.4%,14:26,"3,599",65.5%,15:12,"4,304",57.5%,16:45,"5,004",62.9%,15:41,"4,584","4,788"
33,Indigo,26.3%,21:51,171,34.1%,20:32,170,35.0%,21:50,180,24.6%,24:51,195,204
34,Kingston,77.5%,12:45,"1,843",79.5%,12:14,"1,789",70.0%,14:37,"1,870",71.3%,14:15,"2,058","2,085"
35,Knox,79.5%,12:29,"1,877",80.9%,12:16,"1,727",74.3%,13:52,"1,787",75.6%,13:42,"1,915","1,946"
36,Latrobe,77.9%,11:56,"1,650",75.5%,12:14,"1,648",71.2%,13:33,"1,829",74.8%,12:57,"1,747","1,940"
37,Loddon,28.8%,25:07,146,32.5%,22:59,123,20.6%,25:18,107,18.4%,26:20,136,135
38,Macedon Ranges,58.0%,15:50,600,62.0%,15:22,589,57.4%,16:22,589,56.9%,16:35,634,727
39,Manningham,76.6%,13:31,"1,261",75.0%,13:54,"1,155",68.5%,14:51,"1,319",63.7%,15:58,"1,282","1,423"
40,Mansfield,35.4%,27:56,113,39.0%,27:39,82,38.8%,26:11,121,45.9%,25:55,85,110
41,Maribyrnong,81.6%,12:09,"1,011",80.1%,12:35,885,74.3%,13:53,"1,084",69.2%,15:27,"1,125","1,188"
42,Maroondah,86.0%,11:06,"1,474",83.0%,11:37,"1,339",77.0%,13:12,"1,408",77.5%,13:12,"1,441","1,602"
43,Melbourne,83.6%,11:32,"2,240",85.3%,11:09,"1,981",79.2%,12:31,"2,637",78.1%,12:54,"2,761","2,919"
44,Melton,62.9%,15:00,"2,265",63.5%,15:24,"2,275",53.2%,17:36,"2,905",56.0%,16:41,"2,874","3,036"
45,Mildura,77.7%,12:51,"1,000",77.4%,12:48,836,78.8%,13:05,950,75.6%,13:47,"1,074","1,048"
46,Mitchell,52.8%,16:57,699,60.2%,16:03,668,52.6%,17:17,722,52.4%,18:08,763,840
47,Moira,51.7%,18:54,575,47.7%,19:04,493,43.7%,21:27,593,46.9%,20:11,603,603
48,Monash,77.4%,13:02,"1,939",80.9%,12:52,"1,800",69.8%,14:39,"2,003",67.3%,15:32,"2,141","2,222"
49,Moonee Valley,76.6%,13:45,"1,486",78.6%,13:06,"1,419",68.5%,14:57,"1,666",69.2%,14:59,"1,589","1,652"
50,Moorabool,49.8%,16:45,456,52.4%,17:06,441,43.7%,20:01,449,43.8%,18:38,493,572
51,Moreland,79.6%,13:05,"2,374",78.2%,13:03,"2,440",70.6%,14:39,"2,634",71.9%,14:23,"2,636","2,677"
52,Mornington Peninsula,67.6%,14:13,"2,670",70.8%,13:18,"2,343",66.3%,14:36,"2,627",64.0%,15:21,"2,719","2,618"
53,Mount Alexander,46.6%,19:41,262,53.2%,17:25,231,46.5%,18:24,217,44.3%,18:52,253,263
