,LGA,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,total_num_first_responses
0,Alpine,45:14,176,38:42,178,47:19,180,45:15,175,142
1,Ararat,34:09,183,30:07,211,38:11,176,39:25,177,190
2,Ballarat,31:17,"1,267",29:51,"1,326",29:21,"1,095",36:41,961,995
3,Banyule,41:46,"1,018",34:01,971,45:46,789,46:19,681,721
4,Bass Coast,39:45,587,35:26,584,41:42,513,42:29,519,513
5,Baw Baw,32:45,625,30:34,643,37:28,507,35:01,485,484
6,Bayside,44:48,611,38:06,682,51:54,540,53:04,488,456
7,Benalla,34:25,196,28:45,224,36:10,204,42:13,169,198
8,Boroondara,42:08,883,36:00,"1,008",46:43,686,51:45,691,644
9,Brimbank,37:29,"1,491",36:03,"1,550",45:37,"1,318",44:23,"1,218","1,232"
10,Buloke,41:50,78,43:50,66,58:25,68,55:07,51,70
11,Campaspe,30:35,511,29:59,520,34:59,463,45:52,418,458
12,Cardinia,31:30,838,30:19,876,39:12,709,42:02,643,581
13,Casey,36:41,"2,290",31:23,"2,655",40:33,"2,122",43:20,"1,809","1,890"
14,Central Goldfields,36:14,225,30:28,256,43:19,209,42:49,194,229
15,Colac-Otway,36:02,270,31:42,266,32:18,238,42:23,253,215
16,Corangamite,30:57,181,30:14,204,39:29,182,37:30,175,174
17,Darebin,39:18,"1,171",35:13,"1,360",45:06,"1,020",45:44,954,914
18,East Gippsland,37:21,699,37:24,756,42:05,660,46:34,569,631
19,Frankston,32:49,1532,29:39,"1,516",35:46,"1,270",37:20,"1,195","1,147"
20,Gannawarra,44:50,131,39:05,147,50:27,120,50:42,119,107
21,Glen Eira,42:01,866,37:17,"1,041",47:56,688,49:34,631,678
22,Glenelg,27:16,218,27:17,265,28:52,197,36:10,209,191
23,Golden Plains,36:02,136,34:43,134,39:51,108,37:29,85,85
24,Greater Bendigo,34:02,"1,223",31:43,"1,368",42:40,"1,081",43:10,"1,077","1,063"
25,Greater Dandenong,34:26,"1,374",31:12,"1,503",40:40,"1,235",40:37,"1,076","1,064"
26,Greater Geelong,32:40,"2,661",31:49,"2,801",36:21,2297,40:47,"2,018","2,154"
27,Greater Shepparton,32:02,890,28:31,897,38:25,833,41:01,709,759
28,Hepburn,35:12,171,34:15,187,36:40,134,37:29,155,141
29,Hindmarsh,30:53,80,32:53,97,44:10,67,46:24,62,78
30,Hobsons Bay,37:35,681,35:06,750,43:34,597,45:04,512,566
31,Horsham,32:25,353,27:40,372,35:55,304,39:36,285,287
32,Hume,37:48,"1,881",36:59,"2,242",45:33,"1,711",44:32,"1,548","1,688"
33,Indigo,38:41,107,31:27,134,41:42,126,44:02,104,118
34,Kingston,37:18,1431,34:08,"1,262",43:04,904,45:03,875,869
35,Knox,34:06,"1,190",28:34,"1,293",37:53,942,40:45,853,928
36,Latrobe,26:16,"1,084",24:22,"1,237",32:18,962,33:12,889,908
37,Loddon,42:53,99,44:26,13,40:58,88,45:33,66,62
