,LGA,Period,avg_response_time_min,total_num_first_responses
0,Alpine,30/06/2019,32:43,156
1,Ararat,30/06/2019,25:08,138
2,Ballarat,30/06/2019,22:50,"1,063"
3,Banyule,30/06/2019,23:20,"1,098"
4,Bass Coast,30/06/2019,27:51,554
5,Baw Baw,30/06/2019,25:43,550
6,Bayside,30/06/2019,25:19,666
7,Benalla,30/06/2019,25:53,194
8,Boroondara,30/06/2019,24:16,942
9,Brimbank,30/06/2019,23:14,"1,544"
10,Buloke,30/06/2019,37:12,63
11,Campaspe,30/06/2019,28:40,505
12,Cardinia,30/06/2019,20:13,854
13,Casey,30/06/2019,21:07,"2,416"
14,Central Goldfields,30/06/2019,26:40,221
15,Colac-Otway,30/06/2019,26:46,226
16,Corangamite,30/06/2019,27:03,187
17,Darebin,30/06/2019,22:21,"1,347"
18,East Gippsland,30/06/2019,32:52,623
19,Frankston,30/06/2019,18:52,"1,538"
20,Gannawarra,30/06/2019,38:43,117
21,Glen Eira,30/06/2019,26:33,925
22,Glenelg,30/06/2019,26:54,235
23,Golden Plains,30/06/2019,29:31,113
24,Greater Bendigo,30/06/2019,23:51,"1,125"
25,Greater Dandenong,30/06/2019,19:43,"1,518"
26,Greater Geelong,30/06/2019,23:35,"2,531"
27,Greater Shepparton,30/06/2019,21:55,804
28,Hepburn,30/06/2019,29:48,169
29,Hindmarsh,30/06/2019,34:43,87
30,Hobsons Bay,30/06/2019,24:59,710
31,Horsham,30/06/2019,33:17,301
32,Hume,30/06/2019,21:11,"2,016"
33,Indigo,30/06/2019,31:31,106
34,Kingston,30/06/2019,22:18,"1,269"
35,Knox,30/06/2019,18:57,"1,185"
36,Latrobe,30/06/2019,21:51,"1,045"
37,Loddon,30/06/2019,33:24,75
38,Macedon Ranges,30/06/2019,22:42,457
39,Manningham,30/06/2019,24:44,760
40,Mansfield,30/06/2019,35:14,108
41,Maribyrnong,30/06/2019,23:40,706
42,Maroondah,30/06/2019,19:28,"1,015"
43,Melbourne,30/06/2019,23:00,"2,384"
44,Melton,30/06/2019,22:50,"1,154"
45,Mildura,30/06/2019,31:24,675
46,Mitchell,30/06/2019,22:40,558
47,Moira,30/06/2019,26:42,416
48,Monash,30/06/2019,24:12,"1,369"
49,Moonee Valley,30/06/2019,61:29,"1,435"
50,Moorabool,30/06/2019,22:40,331
51,Moreland,30/06/2019,25:01,"1,471"
52,Mornington Peninsula,30/06/2019,20:55,"1,615"
53,Mount Alexander,30/06/2019,26:24,153
54,Moyne,30/06/2019,32:48,120
55,Murrindindi,30/06/2019,31:01,154
56,Nillumbik,30/06/2019,23:33,399
57,Northern Grampians,30/06/2019,28:35,180
58,Port Phillip,30/06/2019,24:28,862
59,Pyrenees,30/06/2019,23:12,53
60,Queenscliffe,30/06/2019,24:02,33
61,South Gippsland,30/06/2019,29:34,296
62,Southern Grampians,30/06/2019,25:07,151
63,Stonnington,30/06/2019,25:12,766
64,Strathbogie,30/06/2019,25:45,124
65,Surf Coast,30/06/2019,24:40,272
66,Swan Hill,30/06/2019,32:04,246
67,Towong,30/06/2019,32:28,87
68,Wangaratta,30/06/2019,27:04,318
69,Warrnambool,30/06/2019,22:28,327
70,Wellington,30/06/2019,30:47,537
71,West Wimmera,30/06/2019,32:43,41
72,Whitehorse,30/06/2019,22:08,"1,212"
73,Whittlesea,30/06/2019,23:28,"1,569"
74,Wodonga,30/06/2019,24:24,432
75,Wyndham,30/06/2019,21:38,"1,509"
76,Yarra,30/06/2019,23:26,950
77,Yarra Ranges,30/06/2019,19:34,"1,199"
78,Yarriambiack,30/06/2019,35:23,73
79,Unincorporated,30/06/2019,33:37,26
80,Interstate LGAs,30/06/2019,25:42,145
81,Total AV,30/06/2019,24:33,"55,904"
82,Alpine,30/09/2019,33:27,147
83,Ararat,30/09/2019,22:49,164
84,Ballarat,30/09/2019,22:46,"1,114"
85,Banyule,30/09/2019,23:39,"1,121"
86,Bass Coast,30/09/2019,26:56,512
87,Baw Baw,30/09/2019,25:56,527
88,Bayside,30/09/2019,27:51,659
89,Benalla,30/09/2019,27:10,186
90,Boroondara,30/09/2019,25:47,973
91,Brimbank,30/09/2019,24:23,"1,618"
92,Buloke,30/09/2019,45:29,73
93,Campaspe,30/09/2019,26:30,473
94,Cardinia,30/09/2019,21:37,879
95,Casey,30/09/2019,22:11,"2,474"
96,Central Goldfields,30/09/2019,28:35,261
97,Colac-Otway,30/09/2019,27:06,238
98,Corangamite,30/09/2019,23:06,165
99,Darebin,30/09/2019,24:57,"1,383"
100,East Gippsland,30/09/2019,28:32,680
101,Frankston,30/09/2019,19:27,"1,523"
102,Gannawarra,30/09/2019,34:51,129
103,Glen Eira,30/09/2019,27:15,991
104,Glenelg,30/09/2019,22:29,258
105,Golden Plains,30/09/2019,28:54,120
