,LGA,Period,%_responses_more_than_15min,avg_response_time_min,total_num_first_responses
0,Alpine,30/06/2020,43.5%,20:05,108
1,Ararat,30/06/2020,60.3%,16:52,179
2,Ballarat,30/06/2020,83.0%,11:44,"1,540"
3,Banyule,30/06/2020,91.3%,10:15,"1,226"
4,Bass Coast,30/06/2020,66.5%,14:32,552
5,Baw Baw,30/06/2020,68.1%,14:23,700
6,Bayside,30/06/2020,86.6%,10:59,741
7,Benalla,30/06/2020,53.8%,17:19,212
8,Boroondara,30/06/2020,91.0%,10:18,"1,075"
9,Brimbank,30/06/2020,89.7%,10:22,"2,225"
10,Buloke,30/06/2020,24.3%,27:23,74
11,Campaspe,30/06/2020,66.5%,13:59,465
12,Cardinia,30/06/2020,72.8%,12:35,"1,107"
13,Casey,30/06/2020,84.3%,11:11,"3,208"
14,Central Goldfields,30/06/2020,59.3%,16:52,221
15,Colac-Otway,30/06/2020,64.7%,16:19,218
16,Corangamite,30/06/2020,54.6%,17:45,174
17,Darebin,30/06/2020,92.6%,9:51,"1,559"
18,East Gippsland,30/06/2020,59.4%,16:19,715
19,Frankston,30/06/2020,91.0%,10:14,"1,772"
20,Gannawarra,30/06/2020,47.1%,21:08,138
21,Glen Eira,30/06/2020,91.6%,10:02,"1,160"
22,Glenelg,30/06/2020,72.5%,13:49,233
23,Golden Plains,30/06/2020,28.7%,20:13,188
24,Greater Bendigo,30/06/2020,74.5%,13:17,"1,553"
25,Greater Dandenong,30/06/2020,90.4%,10:02,"1,828"
26,Greater Geelong,30/06/2020,79.6%,12:00,"3,298"
27,Greater Shepparton,30/06/2020,81.8%,11:28,997
28,Hepburn,30/06/2020,42.5%,18:07,212
29,Hindmarsh,30/06/2020,44.6%,21:50,74
30,Hobsons Bay,30/06/2020,85.6%,10:50,988
31,Horsham,30/06/2020,77.7%,12:06,283
32,Hume,30/06/2020,85.9%,11:05,"2,808"
33,Indigo,30/06/2020,27.3%,21:58,110
34,Kingston,30/06/2020,89.8%,10:17,"1,587"
35,Knox,30/06/2020,90.8%,10:16,"1,509"
36,Latrobe,30/06/2020,79.8%,11:41,"1,478"
37,Loddon,30/06/2020,34.9%,21:46,129
38,Macedon Ranges,30/06/2020,58.7%,14:41,465
39,Manningham,30/06/2020,83.7%,11:49,979
40,Mansfield,30/06/2020,42.2%,23:35,90
41,Maribyrnong,30/06/2020,90.9%,10:09,839
42,Maroondah,30/06/2020,92.1%,9:31,"1,190"
43,Melbourne,30/06/2020,93.2%,8:48,"1,567"
44,Melton,30/06/2020,81.6%,11:32,"1,692"
45,Mildura,30/06/2020,82.0%,11:57,779
46,Mitchell,30/06/2020,62.3%,14:51,536
47,Moira,30/06/2020,55.0%,17:38,436
48,Monash,30/06/2020,89.3%,11:06,"1,487"
49,Moonee Valley,30/06/2020,87.5%,11:16,"1,198"
50,Moorabool,30/06/2020,66.0%,13:42,424
51,Moreland,30/06/2020,92.1%,10:13,"1,963"
52,Mornington Peninsula,30/06/2020,80.0%,11:33,"2,090"
53,Mount Alexander,30/06/2020,48.8%,18:37,203
54,Moyne,30/06/2020,39.6%,18:14,149
55,Murrindindi,30/06/2020,40.0%,20:31,175
56,Nillumbik,30/06/2020,67.7%,13:41,431
57,Northern Grampians,30/06/2020,72.8%,13:48,158
58,Port Phillip,30/06/2020,93.1%,9:24,979
59,Pyrenees,30/06/2020,39.1%,19:29,128
60,Queenscliffe,30/06/2020,54.1%,15:05,37
61,South Gippsland,30/06/2020,45.1%,18:33,357
62,Southern Grampians,30/06/2020,58.5%,17:55,159
63,Stonnington,30/06/2020,89.8%,10:24,820
64,Strathbogie,30/06/2020,43.1%,19:39,160
65,Surf Coast,30/06/2020,59.9%,15:32,269
66,Swan Hill,30/06/2020,71.2%,14:24,288
67,Towong,30/06/2020,33.3%,24:17,81
68,Wangaratta,30/06/2020,70.7%,14:53,389
69,Warrnambool,30/06/2020,93.0%,10:05,357
70,Wellington,30/06/2020,61.9%,15:13,548
71,West Wimmera,30/06/2020,29.4%,22:35,34
72,Whitehorse,30/06/2020,91.7%,9:42,"1,349"
73,Whittlesea,30/06/2020,84.8%,11:08,"2,263"
74,Wodonga,30/06/2020,85.3%,11:18,517
75,Wyndham,30/06/2020,83.0%,11:22,"1,899"
76,Yarra,30/06/2020,92.3%,9:04,874
77,Yarra Ranges,30/06/2020,76.3%,12:24,"1,586"
78,Yarriambiack,30/06/2020,32.6%,23:41,95
79,Unincorporated,30/06/2020,0%,24:52,1
80,Interstate LGAs,30/06/2020,60.6%,16:44,221
81,Total AV,30/06/2020,81.6%,11:47,"66,906"
82,Alpine,30/09/2020,52.2%,18:49,136
83,Ararat,30/09/2020,63.3%,15:35,169
84,Ballarat,30/09/2020,85.2%,11:19,"1,544"
85,Banyule,30/09/2020,89.4%,10:21,"1,292"
86,Bass Coast,30/09/2020,72.7%,13:12,568
87,Baw Baw,30/09/2020,73.4%,13:31,719
88,Bayside,30/09/2020,90.3%,10:43,741
89,Benalla,30/09/2020,56.3%,17:30,199
90,Boroondara,30/09/2020,91.1%,10:21,"1,099"
91,Brimbank,30/09/2020,89.4%,10:32,"2,391"
92,Buloke,30/09/2020,33.3%,23:28,81
93,Campaspe,30/09/2020,64.8%,13:45,494
94,Cardinia,30/09/2020,74.5%,12:20,"1,140"
95,Casey,30/09/2020,85.4%,11:00,"3,296"
96,Central Goldfields,30/09/2020,63.0%,16:37,211
97,Colac-Otway,30/09/2020,65.5%,14:37,229
98,Corangamite,30/09/2020,57.5%,15:31,219
99,Darebin,30/09/2020,92.3%,9:52,"1,745"
100,East Gippsland,30/09/2020,62.6%,16:03,744
101,Frankston,30/09/2020,91.0%,10:09,"1,857"
102,Gannawarra,30/09/2020,49.6%,19:27,135
103,Glen Eira,30/09/2020,90.8%,10:06,"1,188"
104,Glenelg,30/09/2020,74.7%,13:51,233
105,Golden Plains,30/09/2020,33.0%,19:02,212
106,Greater Bendigo,30/09/2020,76.8%,12:44,"1,744"
107,Greater Dandenong,30/09/2020,90.5%,10:01,"1,773"
108,Greater Geelong,30/09/2020,81.7%,11:43,"3,470"
109,Greater Shepparton,30/09/2020,84.9%,10:40,982
110,Hepburn,30/09/2020,40.4%,18:06,203
111,Hindmarsh,30/09/2020,55.4%,19:22,83
112,Hobsons Bay,30/09/2020,86.9%,11:08,"1,000"
113,Horsham,30/09/2020,83.2%,11:19,304
114,Hume,30/09/2020,83.3%,11:22,"2,952"
115,Indigo,30/09/2020,28.2%,21:28,142
116,Kingston,30/09/2020,90.0%,10:09,"1,523"
117,Knox,30/09/2020,90.9%,10:08,"1,510"
118,Latrobe,30/09/2020,81.4%,11:16,"1,439"
119,Loddon,30/09/2020,39.6%,21:09,96
120,Macedon Ranges,30/09/2020,68.0%,13:59,453
121,Manningham,30/09/2020,87.4%,11:21,967
122,Mansfield,30/09/2020,50.6%,17:38,87
123,Maribyrnong,30/09/2020,90.1%,10:02,726
124,Maroondah,30/09/2020,92.8%,9:34,"1,123"
125,Melbourne,30/09/2020,93.3%,8:46,"1,446"
126,Melton,30/09/2020,81.3%,11:35,"1,800"
127,Mildura,30/09/2020,80.4%,11:54,777
128,Mitchell,30/09/2020,66.0%,13:44,609
129,Moira,30/09/2020,57.2%,16:34,493
130,Monash,30/09/2020,89.8%,10:43,"1,533"
131,Moonee Valley,30/09/2020,87.6%,11:15,"1,275"
132,Moorabool,30/09/2020,68.9%,13:31,383
133,Moreland,30/09/2020,89.0%,10:32,2015
134,Mornington Peninsula,30/09/2020,82.8%,11:05,"1,981"
135,Mount Alexander,30/09/2020,44.4%,19:25,225
136,Moyne,30/09/2020,53.4%,15:49,133
137,Murrindindi,30/09/2020,37.6%,20:34,178
138,Nillumbik,30/09/2020,71.4%,13:31,461
139,Northern Grampians,30/09/2020,66.5%,14:04,185
140,Port Phillip,30/09/2020,92.4%,9:24,"1,033"
141,Pyrenees,30/09/2020,35.6%,20:01,101
142,Queenscliffe,30/09/2020,69.8%,14:51,53
143,South Gippsland,30/09/2020,52.5%,17:18,379
144,Southern Grampians,30/09/2020,62.6%,15:23,174
145,Stonnington,30/09/2020,91.1%,10:17,743
146,Strathbogie,30/09/2020,39.9%,19:25,173
147,Surf Coast,30/09/2020,62.5%,14:31,299
148,Swan Hill,30/09/2020,71.8%,13:36,277
149,Towong,30/09/2020,33.3%,24:05,63
150,Wangaratta,30/09/2020,73.2%,13:42,385
151,Warrnambool,30/09/2020,90.4%,10:09,394
152,Wellington,30/09/2020,60.7%,16:10,598
153,West Wimmera,30/09/2020,35.1%,21:07,37
154,Whitehorse,30/09/2020,93.0%,9:27,"1,392"
155,Whittlesea,30/09/2020,83.1%,11:22,2326
156,Wodonga,30/09/2020,83.6%,11:49,573
157,Wyndham,30/09/2020,82.4%,11:33,"2,206"
158,Yarra,30/09/2020,92.9%,9:03,807
159,Yarra Ranges,30/09/2020,76.6%,12:03,"1,590"
160,Yarriambiack,30/09/2020,50.0%,19:08,112
161,Unincorporated,30/09/2020,36.4%,36:34,11
162,Interstate LGAs,30/09/2020,56.1%,18:04,228
163,Total AV,30/09/2020,82.3%,11:37,"68,667"
164,Alpine,31/12/2020,46.1%,20:47,191
165,Ararat,31/12/2020,62.8%,14:53,172
166,Ballarat,31/12/2020,85.8%,11:18,"1,770"
